Segmento;Item;CEST;NCM/SH;Descrição
AUTOPEÇAS;1.0;01.001.00;3815.12.10;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores
AUTOPEÇAS;1.0;01.001.00;3815.12.90;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores
AUTOPEÇAS;2.0;01.002.00;3917;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos
AUTOPEÇAS;3.0;01.003.00;3918.10.00;Protetores de caçamba
AUTOPEÇAS;4.0;01.004.00;3923.30.00;Reservatórios de óleo
AUTOPEÇAS;5.0;01.005.00;3926.30.00;Frisos, decalques, molduras e acabamentos
AUTOPEÇAS;6.0;01.006.00;4010.3;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias
AUTOPEÇAS;6.0;01.006.00;5910.00.00;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias
AUTOPEÇAS;7.0;01.007.00;4016.93.00;Juntas, gaxetas e outros elementos com função semelhante de vedação
AUTOPEÇAS;7.0;01.007.00;4823.90.9;Juntas, gaxetas e outros elementos com função semelhante de vedação
AUTOPEÇAS;8.0;01.008.00;4016.10.10;Partes de veículos automóveis, tratores e máquinas autopropulsadas
AUTOPEÇAS;9.0;01.009.00;4016.99.90;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
AUTOPEÇAS;9.0;01.009.00;5705.00.00;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
AUTOPEÇAS;10.0;01.010.00;5903.90.00;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico
AUTOPEÇAS;11.0;01.011.00;5909.00.00;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias
AUTOPEÇAS;12.0;01.012.00;6306.1;Encerados e toldos
AUTOPEÇAS;13.0;01.013.00;6506.10.00;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores
AUTOPEÇAS;14.0;01.014.00;6813;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias
AUTOPEÇAS;15.0;01.015.00;7007.11.00;Vidros de dimensões e formatos que permitam aplicação automotiva
AUTOPEÇAS;15.0;01.015.00;7007.21.00;Vidros de dimensões e formatos que permitam aplicação automotiva
AUTOPEÇAS;16.0;01.016.00;7009.10.00;Espelhos retrovisores
AUTOPEÇAS;17.0;01.017.00;7014.00.00;Lentes de faróis, lanternas e outros utensílios
AUTOPEÇAS;18.0;01.018.00;7311.00.00;Cilindro de aço para GNV (gás natural veicular)
AUTOPEÇAS;19.0;01.019.00;7311.00.00;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0
AUTOPEÇAS;20.0;01.020.00;7320;Molas e folhas de molas, de ferro ou aço
AUTOPEÇAS;21.0;01.021.00;7325;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00
AUTOPEÇAS;22.0;01.022.00;7806.00;Peso de chumbo para balanceamento de roda
AUTOPEÇAS;23.0;01.023.00;8007.00.90;Peso para balanceamento de roda e outros utensílios de estanho
AUTOPEÇAS;24.0;01.024.00;8301.20;Fechaduras e partes de fechaduras
AUTOPEÇAS;24.0;01.024.00;8301.60;Fechaduras e partes de fechaduras
AUTOPEÇAS;25.0;01.025.00;8301.70;Chaves apresentadas isoladamente
AUTOPEÇAS;26.0;01.026.00;8302.10.00;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
AUTOPEÇAS;26.0;01.026.00;8302.30.00;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
AUTOPEÇAS;27.0;01.027.00;8310.00;Triângulo de segurança
AUTOPEÇAS;28.0;01.028.00;8407.3;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87
AUTOPEÇAS;29.0;01.029.00;8408.20;Motores dos tipos utilizados para propulsão de veículos automotores
AUTOPEÇAS;30.0;01.030.00;8409.9;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
AUTOPEÇAS;31.0;01.031.00;8412.2;Motores hidráulicos
AUTOPEÇAS;32.0;01.032.00;8413.30;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão
AUTOPEÇAS;33.0;01.033.00;8414.10.00;Bombas de vácuo
AUTOPEÇAS;34.0;01.034.00;8414.80.1;Compressores e turbocompressores de ar
AUTOPEÇAS;34.0;01.034.00;8414.80.2;Compressores e turbocompressores de ar
AUTOPEÇAS;35.0;01.035.00;8413.91.90;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
AUTOPEÇAS;35.0;01.035.00;8414.90.10;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
AUTOPEÇAS;35.0;01.035.00;8414.90.3;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
AUTOPEÇAS;35.0;01.035.00;8414.90.39;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
AUTOPEÇAS;36.0;01.036.00;8415.20;Máquinas e aparelhos de ar condicionado
AUTOPEÇAS;37.0;01.037.00;8421.23.00;Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão
AUTOPEÇAS;38.0;01.038.00;8421.29.90;Filtros a vácuo
AUTOPEÇAS;39.0;01.039.00;8421.9;Partes dos aparelhos para filtrar ou depurar líquidos ou gases
AUTOPEÇAS;40.0;01.040.00;8424.10.00;Extintores, mesmo carregados
AUTOPEÇAS;41.0;01.041.00;8421.31.00;Filtros de entrada de ar para motores de ignição por centelha ou por compressão
AUTOPEÇAS;42.0;01.042.00;8421.39.20;Depuradores por conversão catalítica de gases de escape
AUTOPEÇAS;43.0;01.043.00;8425.42.00;Macacos
AUTOPEÇAS;44.0;01.044.00;8431.10.10;Partes para macacos do CEST 01.043.00
AUTOPEÇAS;45.0;01.045.00;8431.49.2;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
AUTOPEÇAS;45.1;01.045.01;8433.90.90;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias
AUTOPEÇAS;46.0;01.046.00;8481.10.00;Válvulas redutoras de pressão
AUTOPEÇAS;47.0;01.047.00;8481.2;Válvulas para transmissão óleo-hidráulicas ou pneumáticas
AUTOPEÇAS;48.0;01.048.00;8481.80.92;Válvulas solenóides
AUTOPEÇAS;49.0;01.049.00;8482;Rolamentos
AUTOPEÇAS;50.0;01.050.00;8483;Árvores de transmissão (incluídas as árvores de 'cames'e virabrequins) e manivelas. mancais e 'bronzes'. engrenagens e rodas de fricção. eixos de esferas ou de roletes. redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque. volantes e polias, incluídas as polias para cadernais. embreagens e dispositivos de acoplamento, incluídas as juntas de articulação
AUTOPEÇAS;51.0;01.051.00;8484;Juntas metaloplásticas. jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes. juntas de vedação mecânicas (selos mecânicos)
AUTOPEÇAS;52.0;01.052.00;8505.20;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos
AUTOPEÇAS;53.0;01.053.00;8507.10;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão
AUTOPEÇAS;54.0;01.054.00;8511;Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque). geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores
AUTOPEÇAS;55.0;01.055.00;8512.20;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
AUTOPEÇAS;55.0;01.055.00;8512.40;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
AUTOPEÇAS;55.0;01.055.00;8512.90.00;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
AUTOPEÇAS;56.0;01.056.00;8517.12.13;Telefones móveis do tipo dos utilizados em veículos automóveis.
AUTOPEÇAS;57.0;01.057.00;8518;Alto-falantes, amplificadores elétricos de audiofrequência e partes
AUTOPEÇAS;58.0;01.058.00;8518.50.00;Aparelhos elétricos de amplificação de som para veículos automotores
AUTOPEÇAS;59.0;01.059.00;8519.81;Aparelhos de reprodução de som
AUTOPEÇAS;60.0;01.060.00;8525.50.1;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)
AUTOPEÇAS;60.0;01.060.00;8525.60.10;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)
AUTOPEÇAS;61.0;01.061.00;8527.21.00;Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis
AUTOPEÇAS;62.0;01.062.00;8527.29.00;Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis
AUTOPEÇAS;62.1;01.062.01;8521.90.90;Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores
AUTOPEÇAS;63.0;01.063.00;8529.10.90;Antenas
AUTOPEÇAS;64.0;01.064.00;8534.00;Circuitos impressos
AUTOPEÇAS;65.0;01.065.00;8535.30;Interruptores e seccionadores e comutadores
AUTOPEÇAS;65.0;01.065.00;8536.50;Interruptores e seccionadores e comutadores
AUTOPEÇAS;66.0;01.066.00;8536.10.00;Fusíveis e corta-circuitos de fusíveis
AUTOPEÇAS;67.0;01.067.00;8536.20.00;Disjuntores
AUTOPEÇAS;68.0;01.068.00;8536.4;Relés
AUTOPEÇAS;69.0;01.069.00;8538;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00
AUTOPEÇAS;70.0;01.070.00;8539.10;Faróis e projetores, em unidades seladas
AUTOPEÇAS;71.0;01.071.00;8539.2;Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos
AUTOPEÇAS;72.0;01.072.00;8544.20.00;Cabos coaxiais e outros condutores elétricos coaxiais
AUTOPEÇAS;73.0;01.073.00;8544.30.00;Jogos de fios para velas de ignição e outros jogos de fios
AUTOPEÇAS;74.0;01.074.00;8707;Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas
AUTOPEÇAS;75.0;01.075.00;8708;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
AUTOPEÇAS;76.0;01.076.00;8714.1;Parte e acessórios de motocicletas (incluídos os ciclomotores)
AUTOPEÇAS;77.0;01.077.00;8716.90.90;Engates para reboques e semi-reboques
AUTOPEÇAS;78.0;01.078.00;9026.10;Medidores de nível. Medidores de vazão
AUTOPEÇAS;79.0;01.079.00;9026.20;Aparelhos para medida ou controle da pressão
AUTOPEÇAS;80.0;01.080.00;9029;Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios
AUTOPEÇAS;81.0;01.081.00;9030.33.21;Amperímetros
AUTOPEÇAS;82.0;01.082.00;9031.80.40;Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)
AUTOPEÇAS;83.0;01.083.00;9032.89.2;Controladores eletrônicos
AUTOPEÇAS;84.0;01.084.00;9104.00.00;Relógios para painéis de instrumentos e relógios semelhantes
AUTOPEÇAS;85.0;01.085.00;9401.20.00;Assentos e partes de assentos
AUTOPEÇAS;85.0;01.085.00;9401.90.90;Assentos e partes de assentos
AUTOPEÇAS;86.0;01.086.00;9613.80.00;Acendedores
AUTOPEÇAS;87.0;01.087.00;4009;Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios
AUTOPEÇAS;88.0;01.088.00;4504.90.00 6812.99.10;Juntas de vedação de cortiça natural e de amianto
AUTOPEÇAS;89.0;01.089.00;4823.40.00;Papel-diagrama para tacógrafo, em disco
AUTOPEÇAS;90.0;01.090.00;3919.10.00 3919.90.00 8708.29.99;Fitas, tiras, adesivos, auto-colantes, de plástico, refletores, mesmo em rolos. placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários
AUTOPEÇAS;91.0;01.091.00;8412.31.10;Cilindros pneumáticos
AUTOPEÇAS;92.0;01.092.00;8413.19.00 8413.50.90 8413.81.00;Bomba elétrica de lavador de para-brisa
AUTOPEÇAS;93.0;01.093.00;8413.60.19 8413.70.10;Bomba de assistência de direção hidráulica
AUTOPEÇAS;94.0;01.094.00;8414.59.10 8414.59.90;Motoventiladores
AUTOPEÇAS;95.0;01.095.00;8421.39.90;Filtros de pólen do ar-condicionado
AUTOPEÇAS;96.0;01.096.00;8501.10.19;'Máquina' de vidro elétrico de porta
AUTOPEÇAS;97.0;01.097.00;8501.31.10;Motor de limpador de para-brisa
AUTOPEÇAS;98.0;01.098.00;8504.50.00;Bobinas de reatância e de auto-indução
AUTOPEÇAS;99.0;01.099.00;8507.20;Baterias de chumbo e de níquel-cádmio
AUTOPEÇAS;99.0;01.099.00;8507.30;Baterias de chumbo e de níquel-cádmio
AUTOPEÇAS;100.0;01.100.00;8512.30.00;Aparelhos de sinalização acústica (buzina)
AUTOPEÇAS;101.0;01.101.00;9032.89.8;Instrumentos para regulação de grandezas não elétricas
AUTOPEÇAS;101.0;01.101.00;9032.89.9;Instrumentos para regulação de grandezas não elétricas
AUTOPEÇAS;102.0;01.102.00;9027.10.00;Analisadores de gases ou de fumaça (sonda lambda)
AUTOPEÇAS;103.0;01.103.00;4008.11.00;Perfilados de borracha vulcanizada não endurecida
AUTOPEÇAS;104.0;01.104.00;5601.22.19;Artefatos de pasta de fibra de uso automotivo
AUTOPEÇAS;105.0;01.105.00;5703.20.00;Tapetes/carpetes - nailón
AUTOPEÇAS;106.0;01.106.00;5703.30.00;Tapetes de matérias têxteis sintéticas
AUTOPEÇAS;107.0;01.107.00;5911.90.00;Forração interior capacete
AUTOPEÇAS;108.0;01.108.00;6903.90.99;Outros para-brisas
AUTOPEÇAS;109.0;01.109.00;7007.29.00;Moldura com espelho
AUTOPEÇAS;110.0;01.110.00;7314.50.00;Corrente de transmissão
AUTOPEÇAS;111.0;01.111.00;7315.11.00;Corrente transmissão
AUTOPEÇAS;112.0;01.112.00;7315.12.10;Outras correntes de transmissão
AUTOPEÇAS;113.0;01.113.00;8418.99.00;Condensador tubular metálico
AUTOPEÇAS;114.0;01.114.00;8419.50;Trocadores de calor
AUTOPEÇAS;115.0;01.115.00;8424.90.90;Partes de aparelhos mecânicos de pulverizar ou dispersar
AUTOPEÇAS;116.0;01.116.00;8425.49.10;Macacos manuais para veículos
AUTOPEÇAS;117.0;01.117.00;8431.41.00;Caçambas, pás, ganchos e tenazes para máquinas rodoviárias
AUTOPEÇAS;118.0;01.118.00;8501.61.00;Geradores de corrente alternada de potência não superior a 75 kva
AUTOPEÇAS;119.0;01.119.00;8531.10.90;Aparelhos elétricos para alarme de uso automotivo
AUTOPEÇAS;120.0;01.120.00;9014.10.00;Bússolas
AUTOPEÇAS;121.0;01.121.00;9025.19.90;Indicadores de temperatura
AUTOPEÇAS;122.0;01.122.00;9025.90.10;Partes de indicadores de temperatura
AUTOPEÇAS;123.0;01.123.00;9026.90;Partes de aparelhos de medida ou controle
AUTOPEÇAS;124.0;01.124.00;9032.10.10;Termostatos
AUTOPEÇAS;125.0;01.125.00;9032.10.90;Instrumentos e aparelhos para regulação
AUTOPEÇAS;126.0;01.126.00;9032.20.00;Pressostatos
AUTOPEÇAS;127.0;01.127.00;8716.90;Peças para reboques e semi-reboques, exceto os itens classificados no CEST 01.077.00
AUTOPEÇAS;128.0;01.128.00;7322.90.10;Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis
AUTOPEÇAS;999.0;01.999.00;;Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;1.0;02.001.00;2205;Aperitivos, amargos, bitter e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;1.0;02.001.00;2208.90.00;Aperitivos, amargos, bitter e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;2.0;02.002.00;2208.90.00;Batida e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;3.0;02.003.00;2208.90.00;Bebida ice
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;4.0;02.004.00;2207.20;Cachaça e aguardentes
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;4.0;02.004.00;2208.40.00;Cachaça e aguardentes
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;5.0;02.005.00;2205;Catuaba e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;5.0;02.005.00;2206.00.90;Catuaba e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;5.0;02.005.00;2208.90.00;Catuaba e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;6.0;02.006.00;2208.20.00;Conhaque, brandy e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;7.0;02.007.00;2206.00.90;Cooler
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;7.0;02.007.00;2208.90.00;Cooler
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;8.0;02.008.00;2208.50.00;Gim (gin) e genebra
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;9.0;02.009.00;2205;Jurubeba e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;9.0;02.009.00;2206.00.90;Jurubeba e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;9.0;02.009.00;2208.90.00;Jurubeba e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;10.0;02.010.00;2208.70.00;Licores e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;11.0;02.011.00;2208.20.00;Pisco
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;12.0;02.012.00;2208.40.00;Rum
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;13.0;02.013.00;2206.00.90;Saque
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;14.0;02.014.00;2208.90.00;Steinhaeger
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;15.0;02.015.00;2208.90.00;Tequila
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;16.0;02.016.00;2208.30;Uísque
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;17.0;02.017.00;2205;Vermute e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;18.0;02.018.00;2208.60.00;Vodka
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;19.0;02.019.00;2208.90.00;Derivados de vodka
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;20.0;02.020.00;2208.90.00;Arak
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;21.0;02.021.00;2208.20.00;Aguardente vínica / grappa
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;22.0;02.022.00;2206.00.10;Sidra e similares
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;23.0;02.023.00;2205;Sangrias e coquetéis
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;23.0;02.023.00;2206.00.90;Sangrias e coquetéis
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;23.0;02.023.00;2208.90.00;Sangrias e coquetéis
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;24.0;02.024.00;2204;Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool. mostos de uvas.
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;999.0;02.999.00;2205;Outras bebidas alcoólicas não especificadas nos itens anteriores
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;999.0;02.999.00;2206;Outras bebidas alcoólicas não especificadas nos itens anteriores
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;999.0;02.999.00;2207;Outras bebidas alcoólicas não especificadas nos itens anteriores
